,image_name,gender,Eyes,Nose,Lips,Eyebrows,HairFront,HairBack,HaironShoulder,Eyewear,FaceShape
50,WFVFHGxSUNaZJkYe.png,male,MaleEyesHooded_Patch,MaleNoseAverage,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontPratyushMehta_Medium,,,MaleEyewearAviator7,MaleFaceShapeDiamondLong
51,WEPikbwsRFh15oCI.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairSidePuff_Short,,,MaleEyewearFlatTopVision,MaleFaceShapeOval
52,WEbr77EWpnI8rHnX.png,male,MaleEyesAlmond2_Patch,MaleNoseAverage,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontAnasAhmed_Medium,,,None,MaleFaceShapeDiamondLong
53,WFQqQzKsL95T8r_F.png,male,MaleEyesHooded_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontTarun_Medium,,,MaleEyewearAviator7,MaleFaceShapeDiamond
54,WFuZQY0jkLSk3ffw.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontBhagyesh_Short,,,MaleEyewearCasualFrame,MaleFaceShapeTriangle2
55,WFAx6GxSUNagx9T4.png,male,MaleEyesFlat_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontPankajKumar_Short,,,MaleEyewearRound,MaleFaceShapeOval
56,WEgS6o0jkIs7z279.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontAsif_Medium,,,None,MaleFaceShapeTriangle2
57,WF9RFDKsL-6lebZJ.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsThinSmile_Thin,MaleEyebrowsSoftCurved_Medium,MaleHairFrontBipin_Short,,,None,MaleFaceShapeDiamond
58,WF5Fu2SBJ6aCAn3r.png,male,MaleEyesHooded_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontAnasAhmed_Medium,,,MaleEyewearWDark,MaleFaceShapeOval
59,WErUOLwsREbUnUy4.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontDeepak_Medium,,,None,MaleFaceShapeTriangle2
60,WF1X453KYvXuEu3t.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontNishkarshModi_Medium,,,MaleEyewearAviator2,MaleFaceShapeDiamond
61,WFDM9WxSUNaZJFie.png,male,MaleEyesSmallEye2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontDarshil_Medium,,,None,MaleFaceShapeOblong
62,WFLcG53KYvV45_Tv.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontBhushanJain_Medium,,,None,MaleFaceShapeOval
63,WEglXNFH7JDHdxeu.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontAyush_Short,,,None,MaleFaceShapeTriangleLong
64,WEF0N40jkIodscg1.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontAnasAhmed_Medium,,,None,MaleFaceShapeOblong
65,WEr8Po0jkEtDAiKx.png,male,MaleEyesAlmond2_Patch,MaleNoseAverage,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontBhagyesh_Short,,,None,MaleFaceShapeTriangle1
66,WFgEpdFH7IvTK6r4.png,male,MaleEyesSmallEye2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontGenericParted_Medium,,,None,MaleFaceShapeTriangle2
67,WF_HfbEWphy1C5X-.png,male,MaleEyesHooded_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsStraight_Thin,MaleHairFrontTarun_Medium,,,MaleEyewearWDark,MaleFaceShapeThinRect2
68,WF_CFNFH7FWpByiA.png,male,MaleEyesAlmond2_Patch,MaleNoseAverage,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontAnasAhmed_Medium,,,None,MaleFaceShapeTriangleLong
69,WElWUtFH7FJD4oHE.png,male,MaleEyesAlmond2_Patch,MaleNoseAverage,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontFrontPuffBlack_Medium,,,None,MaleFaceShapeTriangleLong
70,WELkldFH7AWD4YVe.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontBhagyesh_Short,,,None,MaleFaceShapeTriangle1
71,WFOhENFH7DqvCIWo.png,male,MaleEyesHooded_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairMaleBob_Medium,,,MaleEyewearAviator7,MaleFaceShapeThinRect2
